,date,delegator_address,delegation,delegation_usd
57,2024-08-26,cosmos1qher9qgagzucxzzya4aunukgtsmx8z4gyqvhwu,1.278167,6.43
58,2024-08-26,cosmos1qhmk6lydl2g7a7k6676zugw4lk42fajveq6fr6,74.9925,377.21
59,2024-08-26,cosmos1qc98zsf5flrgqlmvw8pux6gc2p9zl6rnaht04s,0.9999,5.03
60,2024-08-26,cosmos1qcvxet67xsplnmpn83c3kkfenkq2tk7ustq05r,1.1,5.53
61,2024-08-26,cosmos1qclp332z5a527xxgdu2p9l9lwwxmttf77hyt3d,20.027588,100.74
62,2024-08-26,cosmos1qe234cn3lttx3c45hz4vk6hmdurkvmspnxz9ud,52.922545,266.2
63,2024-08-26,cosmos1qej7h76hy9xrdsse3df5q7vzvqr2xfvgu4f733,118.414566,595.63
64,2024-08-26,cosmos1q6z6exv3zde7rdsftu2senvpedly7f3suhsp8z,310.975599,1564.21
65,2024-08-26,cosmos1q66sy9l8mgwddyg62zc3xx7e69q00dyav6udhe,103.105491,518.62
66,2024-08-26,cosmos1qm9su76qg3nck0sfpvvckzwftf9t3l2q905t6r,16.73435,84.17
67,2024-08-26,cosmos1qmwm85yvnz6qhsl2z5g5z6ulhyk7zxkth5gwd2,37.225979,187.25
68,2024-08-26,cosmos1qm3lunqv73dnrgcm655j47vspe9v376j7vz0nf,35.566431,178.9
69,2024-08-26,cosmos1qmhvwujhgppg6xjdff5mcwn87m38zcdhswfqzd,22.0,110.66
70,2024-08-26,cosmos1qmc7mxhhjuzydhkk7e0289vy0chxvug0w03ztl,79.0,397.37
71,2024-08-26,cosmos1qmaxh32d4995pz7e72x236tjf3hjnv765n6pcc,5.305855,26.69
72,2024-08-26,cosmos1quh80zy5ryaq3qpksvcd4mjzgvp5dvpqzm86qh,1.111964,5.59
73,2024-08-26,cosmos1qawp02mz9cvjucu55wggvxhrv9mqxzhzf5dlku,3.12,15.69
74,2024-08-26,cosmos1qam0qapntwuw6d7ekkkgdwsxheynv3h6dwfe2v,14.884925,74.87
75,2024-08-26,cosmos1q7ympjxr0gncsg0vkr364tg250g492fr8qe3v2,210.0,1056.3
76,2024-08-26,cosmos1pqqg3ujjlezlq4a92j6h4qmjpdda2r0v290l74,149.985,754.42
77,2024-08-26,cosmos1pq86sxtqc9v24m7r5wffc3n5gu20agu5mjk9d5,0.3,1.51
78,2024-08-26,cosmos1pqduzlhz3sjc52ws2sfk9jxsu75z63djr70gzz,1.019894,5.13
79,2024-08-26,cosmos1pqefczhmumpvgq5ecm9emh6x3z6jcluz5gj4xe,100.9899,507.98
80,2024-08-26,cosmos1pp7vlpslg5xz0g9lcvey9wv64taxxh7a9fzaxx,1.00001,5.03
81,2024-08-26,cosmos1pzvewrwly2qdt3u2v0n8uxjcgs7uz5sxg89mst,10.09899,50.8
82,2024-08-26,cosmos1pzhnps9lrzeynhzr9jenzx9j3u9suhzquqq3gf,15.0,75.45
83,2024-08-26,cosmos1prr9spshly2wfaxc5p5v2ssx3myhmuqcayksze,51.403712,258.56
84,2024-08-26,cosmos1prkt7s379wupzh8nmuefa9hw5xyddqwknlzfwd,152.010893,764.61
85,2024-08-26,cosmos1pyde2v9cx8vfssq8jsd048ve8zs8kruw84tzr8,26.171065,131.64
86,2024-08-26,cosmos1pyacezvn3n75fqf37jtjzml2enppzp0mhjd4fl,74.0,372.22
87,2024-08-26,cosmos1p9jlkjpx0hqpvedqgsl9y55ua0kgq0w4sy7s0r,15.0,75.45
88,2024-08-26,cosmos1p95u6z3wt8pmlgf2n2egsvx20n2j4de36qwujp,60.01,301.85
89,2024-08-26,cosmos1p944nul5rs4zk77rnx77ffa5wp3qatsur3afpe,2.311536,11.63
90,2024-08-26,cosmos1p9heyeh27gcpd5qyftezxsf60nz2l562flrrdx,4.77571,24.02
91,2024-08-26,cosmos1pxzc46xr48cfjfhpm9vcrgh7ukk652u4zx5z4a,4.09959,20.62
92,2024-08-26,cosmos1pxaa4fnlxuamfpvu6a35nn637tdevcq4a3vhey,5.437441,27.35
93,2024-08-26,cosmos1p8qyqama2qhuh70ml9uf8gfkptsrevnwlgr3qc,99.99,502.95
94,2024-08-26,cosmos1p8ztsllf94jsyqh7jemcsu4rll5hl6qvzrmt52,15.708429,79.01
95,2024-08-26,cosmos1p80y4t4ct57sv70kmdyxalmrkhp6ssdt2d352m,104.896675,527.63
96,2024-08-26,cosmos1p8jt48s9x7jwu66dh5q44p3r9uyhytsqvy2ves,25.250005,127.01
97,2024-08-26,cosmos1pgml99cas4f68y4u8f4qhvqnrd6j8s7y0y70fr,29.997,150.88
